year,month,day,team_mean(C),team_min(C),team_max(C),dew_point(C),humidity(%),humidity_low(%),humidity_high(%),rain(mm)
2023,08,01,23.2,12.3,35.8,3.1,31,11,60,0
2023,08,02,24.1,13.5,35.3,4.4,31,12,59,0
2023,08,03,24.5,15.9,34.7,7,35,16,57,0
2023,08,04,24,15.3,33.2,7.2,36,19,62,0
2023,08,05,25.1,18.4,32.9,11.6,46,24,71,0
2023,08,06,23,17.9,31.7,13,55,27,77,0
2023,08,07,21.4,14.1,29.5,12.9,61,37,87,0
2023,08,08,20.7,17.5,26.4,15.3,73,43,96,1.5
2023,08,09,18.3,14.1,27.4,13.7,78,28,99,2
2023,08,10,19.8,12.4,30.9,8.8,53,24,78,0
2023,08,11,21.7,14.2,31.4,8.7,47,23,76,0
2023,08,12,22.9,14.5,34.7,9.1,45,22,71,0
2023,08,13,24.7,15.4,37.8,10.1,43,16,74,0
2023,08,14,26.4,16.8,39.7,10.1,39,16,66,0
2023,08,15,26.4,18.6,39.4,10.2,38,16,62,0
2023,08,16,24.2,16.4,36.6,10.2,43,20,67,0
2023,08,17,25.3,17.9,36.7,7,36,10,63,0
2023,08,18,17.3,10.4,27.1,1.9,38,16,58,0
2023,08,19,16,9.8,24.4,4.1,47,29,67,0
2023,08,20,15.8,9.8,23.8,5.5,52,31,74,0
2023,08,21,17,14.7,22.2,13.3,82,39,99,3.8
2023,08,22,14,10.1,20.6,11.5,87,48,99,9.9
2023,08,23,15.4,8.9,25.3,9.8,73,34,97,9.9
2023,08,24,17.1,10.9,24.7,9.9,65,37,87,0
2023,08,25,18.4,10.9,30.3,10.6,65,27,93,0
2023,08,26,19.8,12.3,30.2,10.4,58,30,84,0
2023,08,27,20.6,13,30.1,11.2,58,31,85,0
2023,08,28,19.5,13.1,29.1,10,56,33,78,0
2023,08,29,17.2,14.4,23.7,13.6,83,43,99,1.1
2023,08,30,16.4,14.9,20.6,13.7,85,57,96,29.9
2023,08,31,16.1,13.4,24.6,13.2,85,45,99,0.5
2023,09,01,16.7,10.9,26.7,12.1,76,44,96,0
2023,09,02,18,13.2,26.2,12.7,73,47,92,0
2023,09,03,17.7,12.7,23.7,13.2,77,47,96,0
2023,09,04,17.8,11.9,24.7,10.9,67,34,92,0
2023,09,05,17.6,12.7,26.1,10.9,69,29,94,0
2023,09,06,16.6,9.6,25.8,8.9,65,27,95,0
2023,09,07,16.4,9.6,25.3,8.6,63,31,89,0
2023,09,08,16.5,9.5,27.3,9.3,66,29,92,0
2023,09,09,17,9.4,29.1,8.5,61,23,89,0
2023,09,10,17.3,11.9,28.5,8.9,59,28,78,0
2023,09,11,17.8,11.5,25.9,10.8,67,36,89,0
2023,09,12,17.4,10.5,25.6,10.5,69,28,96,0
2023,09,13,15.5,7.7,26,5.9,57,26,88,0
2023,09,14,15.6,7.4,30.3,5.6,56,19,86,0
2023,09,15,17,8.3,31.3,5.5,51,17,78,0
2023,09,16,17.3,11.9,29.3,6.8,53,19,82,0
2023,09,17,15.1,7.6,24.9,4,50,25,77,0
2023,09,18,10,5.1,18.4,1.5,57,30,76,0
2023,09,19,10.8,7.7,18.4,6,73,42,95,0.3
2023,09,20,11.9,5.7,21.7,4.7,65,30,88,0.3
2023,09,21,12.7,6.1,22.3,4.8,61,32,87,0
2023,09,22,16.1,12.8,21.9,9,65,37,86,0
2023,09,23,12.4,10.1,18.8,9.3,82,48,98,2
2023,09,24,13.3,10.9,19.3,10.3,83,57,96,2
2023,09,25,13.8,11.4,18.7,10.7,84,47,99,13.7
2023,09,26,9.8,8.5,13.7,9,95,72,99,21
2023,09,27,9.9,8.4,14.1,8.7,93,65,99,13.3
2023,09,28,9.1,6,14,7,89,48,99,8.8
2023,09,29,7.7,4.8,13.3,5.1,85,58,96,1.6
2023,09,30,10.4,6.1,17.6,6.3,77,44,94,0
2023,10,01,8.6,5.1,15.4,5.9,84,59,97,0
2023,10,02,11.9,9.6,18.5,9.4,86,45,99,0.7
2023,10,03,12.4,8.5,21.5,7.1,74,28,92,0.3
2023,10,04,14.6,10.7,19.6,6.3,59,28,83,0
2023,10,05,11.2,6.4,18.1,7.1,77,48,94,0
2023,10,06,10.2,5.5,18.7,7.3,84,53,99,0
2023,10,07,10.8,5.5,19.7,7.7,82,53,99,0
2023,10,08,11.9,7.2,17.4,9.3,85,64,99,0
2023,10,09,14,11.8,17,10.1,78,57,95,0.2
2023,10,10,10.1,8.6,14.1,9.1,94,62,99,3.6
2023,10,11,8.7,4.1,14.3,6.3,86,62,99,3.6
2023,10,12,9.7,5.9,16.5,7.5,87,62,98,0
2023,10,13,8.9,6,15,7.2,90,74,98,0
2023,10,14,10.6,8.5,15.1,9.7,95,78,99,8.1
2023,10,15,11.3,9.8,14.3,10.2,93,77,99,1.3
2023,10,16,10.2,4.6,15.2,8.2,89,45,99,6.6
2023,10,17,9.2,7.7,12.7,7.9,92,71,99,1.5
2023,10,18,8.7,4.7,13.6,7.5,93,74,99,1.5
2023,10,19,9.5,7.1,13.9,8.5,94,79,99,0
2023,10,20,9.8,8.1,13,8.1,90,74,97,0
2023,10,21,9.2,7.1,12.1,7.9,92,80,99,0.8
2023,10,22,5.7,2.6,11.7,4.6,94,68,99,0.8
2023,10,23,5.4,2,10.7,1.1,74,38,89,0
2023,10,24,4.3,1.8,6.1,-0.7,71,41,92,0.3
2023,10,25,1.9,0.7,4.4,-2.7,72,45,82,0.3
2023,10,26,0.2,-1.4,2.5,-1.1,91,73,98,0.2
2023,10,27,-2.5,-6,2.5,-5,83,53,94,0.2
2023,10,28,-2.4,-6.1,4.5,-5,83,56,95,0
2023,10,29,-1.4,-4.8,4.5,-3.9,84,58,97,0
2023,10,30,-0.8,-3.7,4,-2.8,87,68,98,0
2023,10,31,-0.2,-2.6,4.5,-1.7,90,75,97,0
